ticket_id,csat_score,response_date
TCK-0000255,3,2024-10-03
TCK-0000257,4,2024-04-01
TCK-0000258,4,2024-10-27
TCK-0000259,5,2024-02-05
TCK-0000260,2,2024-09-02
TCK-0000261,5,2024-11-22
TCK-0000262,5,2024-06-01
TCK-0000264,5,2024-06-03
TCK-0000265,4,2024-01-19
TCK-0000266,4,2024-05-17
TCK-0000267,3,2024-07-16
TCK-0000268,4,2024-08-29
TCK-0000271,4,2024-02-14
TCK-0000273,3,2024-09-23
TCK-0000275,5,2024-11-06
TCK-0000276,2,2024-08-17
TCK-0000280,4,2024-11-15
TCK-0000281,4,2024-06-26
TCK-0000282,5,2024-04-07
TCK-0000285,4,2024-06-01
TCK-0000287,4,2024-08-18
TCK-0000288,4,2024-03-22
TCK-0000289,5,2024-06-30
TCK-0000291,5,2024-05-11
TCK-0000293,4,2024-08-05
TCK-0000297,2,2024-05-12
TCK-0000298,4,2024-05-18
TCK-0000300,1,2024-08-18
TCK-0000301,2,2024-04-07
TCK-0000304,2,2024-05-30
TCK-0000306,3,2024-01-30
TCK-0000308,3,2024-01-26
TCK-0000310,4,2024-03-05
TCK-0000313,2,2024-02-12
TCK-0000315,1,2024-06-18
TCK-0000318,4,2024-01-28
TCK-0000319,2,2024-03-20
TCK-0000321,3,2024-07-04
TCK-0000322,1,2024-05-29
TCK-0000324,4,2024-10-19
TCK-0000325,2,2024-07-11
TCK-0000326,4,2024-03-25
TCK-0000328,1,2024-07-31
TCK-0000329,4,2024-09-21
TCK-0000330,4,2024-07-27
TCK-0000333,4,2024-09-15
TCK-0000334,3,2024-01-31
TCK-0000335,4,2024-09-09
TCK-0000336,4,2024-11-09
TCK-0000338,4,2024-08-07
TCK-0000339,4,2024-08-21
TCK-0000340,4,2024-01-06
TCK-0000342,3,2024-07-13
TCK-0000343,5,2024-03-29
TCK-0000345,5,2024-12-30
TCK-0000346,2,2024-05-27
TCK-0000347,4,2024-05-08
TCK-0000349,5,2024-12-04
TCK-0000352,5,2024-03-22
TCK-0000356,5,2024-11-25
TCK-0000358,2,2024-11-19
TCK-0000359,5,2024-08-12
TCK-0000360,4,2024-12-08
TCK-0000361,4,2024-12-22
TCK-0000363,2,2024-05-24
TCK-0000369,5,2024-08-25
TCK-0000371,4,2024-12-31
TCK-0000372,5,2024-09-11
TCK-0000373,4,2024-06-11
TCK-0000374,4,2024-05-08
TCK-0000376,4,2024-06-04
TCK-0000377,5,2024-03-25
TCK-0000378,2,2024-05-17
TCK-0000379,2,2024-03-09
TCK-0000382,4,2024-09-05
TCK-0000383,5,2024-11-08
TCK-0000384,4,2024-12-13
TCK-0000386,4,2024-01-28
TCK-0000387,2,2024-11-23
TCK-0000388,1,2024-12-30
TCK-0000389,3,2024-02-06
TCK-0000390,4,2024-07-07
TCK-0000391,5,2024-08-12
TCK-0000393,4,2024-01-16
TCK-0000394,5,2024-11-07
TCK-0000395,5,2024-04-20
TCK-0000396,4,2024-04-04
TCK-0000398,3,2024-06-17
TCK-0000399,2,2024-03-19
TCK-0000400,5,2024-12-02
TCK-0000401,4,2024-11-17
TCK-0000403,3,2024-04-19
TCK-0000404,2,2024-01-25
TCK-0000405,5,2024-03-09
TCK-0000407,3,2024-07-01
TCK-0000409,4,2024-08-22
TCK-0000413,4,2024-01-08
TCK-0000414,2,2024-03-14
TCK-0000416,5,2024-11-04
TCK-0000417,4,2024-03-28
TCK-0000418,4,2024-05-24
TCK-0000422,4,2024-12-30
TCK-0000423,4,2024-07-06
TCK-0000425,1,2024-02-13
TCK-0000428,5,2024-11-20
TCK-0000431,5,2024-10-28
TCK-0000432,4,2024-11-15
TCK-0000433,3,2024-06-30
TCK-0000435,4,2024-04-14
TCK-0000438,5,2024-08-27
TCK-0000439,5,2024-09-16
TCK-0000441,2,2024-05-09
TCK-0000443,4,2024-01-29
TCK-0000445,5,2024-08-12
TCK-0000447,4,2024-01-18
TCK-0000450,4,2024-05-30
TCK-0000452,3,2024-11-01
TCK-0000454,4,2024-05-12
TCK-0000455,3,2024-12-17
TCK-0000458,5,2024-08-05
TCK-0000459,3,2024-05-03
TCK-0000462,4,2024-01-24
TCK-0000464,4,2024-07-05
TCK-0000465,4,2024-04-18
TCK-0000468,3,2024-08-29
TCK-0000470,5,2024-06-07
TCK-0000471,5,2024-08-06
TCK-0000474,5,2024-02-27
TCK-0000475,1,2024-05-07
TCK-0000476,4,2024-06-25
TCK-0000477,4,2024-04-01
TCK-0000481,2,2024-09-15
TCK-0000482,3,2024-02-19
TCK-0000483,3,2024-04-07
TCK-0000484,4,2024-06-27
TCK-0000485,4,2024-01-29
TCK-0000486,3,2024-12-07
TCK-0000487,3,2024-10-25
TCK-0000488,4,2024-01-24
TCK-0000490,2,2024-08-09
TCK-0000491,4,2024-05-22
TCK-0000492,2,2024-02-20
TCK-0000495,4,2024-08-12
TCK-0000497,3,2024-11-03
TCK-0000498,3,2024-11-08
TCK-0000500,5,2024-07-31
TCK-0000501,4,2024-02-10
TCK-0000502,2,2024-09-13
TCK-0000503,4,2024-11-21
TCK-0000504,3,2024-09-04
TCK-0000505,5,2024-04-21
TCK-0000508,4,2024-12-02
TCK-0000509,4,2024-12-15
TCK-0000511,3,2025-01-01
TCK-0000513,5,2024-06-13
TCK-0000515,2,2024-09-15
TCK-0000518,5,2024-06-20
TCK-0000519,4,2024-07-23
TCK-0000520,5,2024-08-22
TCK-0000521,4,2024-04-07
TCK-0000522,2,2024-01-11
TCK-0000523,5,2024-01-06
TCK-0000524,4,2024-07-18
TCK-0000526,5,2024-06-20
TCK-0000527,5,2024-04-11
TCK-0000529,3,2024-04-01
TCK-0000530,4,2024-04-12
TCK-0000531,3,2024-03-03
TCK-0000532,2,2024-03-23
TCK-0000533,3,2024-05-31
TCK-0000535,5,2024-06-01
TCK-0000537,3,2024-06-24
TCK-0000539,5,2024-05-21
TCK-0000540,5,2024-02-11
TCK-0000541,5,2024-08-11
TCK-0000542,5,2024-10-19
TCK-0000544,2,2024-04-16
TCK-0000545,4,2024-12-20
TCK-0000547,3,2024-07-31
TCK-0000548,3,2024-03-06
TCK-0000551,4,2024-04-01
TCK-0000552,4,2024-10-15
TCK-0000553,4,2024-01-25
TCK-0000554,4,2024-04-25
TCK-0000555,4,2024-04-19
TCK-0000556,4,2024-11-28
TCK-0000558,5,2024-12-23
TCK-0000559,2,2024-05-13
TCK-0000560,4,2024-07-23
TCK-0000562,3,2024-07-07
TCK-0000563,2,2024-12-28
TCK-0000565,3,2024-12-02
TCK-0000566,4,2024-03-07
TCK-0000568,5,2024-11-15
TCK-0000569,4,2024-04-03
TCK-0000570,5,2024-03-03
TCK-0000571,3,2024-03-18
TCK-0000572,4,2024-11-25
TCK-0000573,5,2024-04-22
TCK-0000574,3,2024-06-23
TCK-0000577,2,2024-04-23
TCK-0000578,5,2024-09-16
TCK-0000581,3,2024-11-01
TCK-0000583,3,2024-12-30
TCK-0000585,5,2024-01-27
TCK-0000586,4,2024-06-05
TCK-0000587,5,2024-07-17
TCK-0000588,3,2024-06-25
TCK-0000591,5,2024-02-12
TCK-0000592,3,2024-02-29
TCK-0000593,3,2024-12-19
TCK-0000596,4,2024-08-04
TCK-0000597,4,2024-10-19
TCK-0000598,3,2024-07-31
TCK-0000602,4,2024-04-20
TCK-0000603,4,2024-07-04
TCK-0000607,4,2024-11-12
TCK-0000608,3,2024-09-22
TCK-0000609,5,2024-07-21
TCK-0000610,3,2024-10-06
TCK-0000613,5,2024-04-10
TCK-0000615,1,2024-02-28
TCK-0000616,2,2024-11-03
TCK-0000617,2,2024-12-07
TCK-0000618,2,2024-03-03
TCK-0000620,4,2024-07-14
TCK-0000621,5,2024-03-21
TCK-0000622,4,2024-12-13
TCK-0000623,2,2024-11-30
TCK-0000627,4,2024-02-23
TCK-0000629,4,2024-03-01
TCK-0000634,4,2024-06-22
TCK-0000635,5,2024-05-14
TCK-0000636,3,2024-08-31
TCK-0000638,5,2024-10-18
TCK-0000639,5,2024-11-25
TCK-0000641,5,2024-04-22
TCK-0000644,5,2024-07-03
TCK-0000647,3,2024-04-28
TCK-0000648,2,2024-10-08
TCK-0000649,4,2024-09-02
TCK-0000653,5,2024-05-24
TCK-0000660,4,2024-09-09
TCK-0000662,4,2024-06-21
TCK-0000663,4,2024-07-31
TCK-0000665,5,2024-09-06
TCK-0000667,5,2024-04-12
TCK-0000669,4,2024-05-03
TCK-0000670,5,2024-02-20
TCK-0000671,5,2024-05-21
TCK-0000673,3,2024-07-26
TCK-0000674,4,2024-12-01
TCK-0000676,5,2024-06-07
TCK-0000678,2,2024-06-08
TCK-0000681,4,2024-12-03
TCK-0000682,5,2024-01-19
TCK-0000683,5,2024-08-26
TCK-0000686,5,2024-09-12
TCK-0000689,5,2024-03-26
TCK-0000692,2,2024-05-10
TCK-0000694,5,2024-05-12
TCK-0000695,5,2024-05-25
TCK-0000696,5,2024-06-10
TCK-0000697,4,2024-02-22
TCK-0000698,4,2024-11-11
TCK-0000700,4,2024-12-18
TCK-0000701,4,2024-03-22
TCK-0000702,5,2024-04-12
TCK-0000705,5,2024-11-10
TCK-0000706,5,2024-10-25
TCK-0000707,3,2024-02-11
TCK-0000708,4,2024-06-27
TCK-0000710,4,2024-11-10
TCK-0000711,5,2024-10-15
TCK-0000713,5,2024-09-26
TCK-0000714,4,2024-12-30
TCK-0000715,2,2024-07-24
TCK-0000717,5,2024-09-11
TCK-0000718,5,2024-05-24
TCK-0000720,5,2024-03-12
TCK-0000722,4,2024-08-06
TCK-0000725,3,2024-05-25
TCK-0000726,5,2024-02-10
TCK-0000727,4,2024-07-21
TCK-0000729,4,2024-08-20
TCK-0000731,4,2024-06-18
TCK-0000733,1,2024-10-07
TCK-0000736,5,2024-03-29
TCK-0000739,1,2024-10-03
TCK-0000740,1,2024-05-04
TCK-0000742,4,2024-05-26
TCK-0000743,3,2024-03-15
TCK-0000744,2,2024-03-05
TCK-0000745,1,2024-12-21
TCK-0000746,5,2024-09-19
TCK-0000748,5,2024-05-23
TCK-0000749,5,2024-05-04
TCK-0000751,2,2024-09-07
TCK-0000752,4,2024-06-02
TCK-0000753,5,2024-12-28
TCK-0000754,3,2024-06-16
TCK-0000758,3,2024-01-29
TCK-0000760,5,2024-02-13
TCK-0000761,5,2024-08-23
TCK-0000762,5,2024-07-26
TCK-0000764,4,2024-10-28
TCK-0000765,2,2024-11-11
TCK-0000767,5,2024-11-09
TCK-0000771,5,2024-11-08
TCK-0000772,5,2024-05-01
TCK-0000773,2,2024-02-07
TCK-0000774,3,2024-08-26
TCK-0000775,5,2024-05-31
TCK-0000776,4,2024-04-28
TCK-0000777,4,2024-05-29
TCK-0000780,4,2024-06-16
TCK-0000781,4,2024-02-19
TCK-0000782,3,2024-04-08
TCK-0000784,5,2024-06-15
TCK-0000785,3,2024-10-14
TCK-0000786,2,2024-07-12
TCK-0000787,3,2024-05-07
TCK-0000788,4,2024-11-30
TCK-0000789,5,2024-08-27
TCK-0000790,5,2024-01-22
TCK-0000791,5,2024-10-06
TCK-0000795,4,2024-09-27
TCK-0000796,2,2024-01-14
TCK-0000797,4,2024-04-11
TCK-0000798,3,2024-06-26
TCK-0000799,2,2024-02-04
TCK-0000800,4,2024-04-22
TCK-0000801,2,2024-08-06
TCK-0000803,4,2024-08-09
TCK-0000804,5,2024-11-13
TCK-0000805,2,2024-01-26
TCK-0000806,4,2024-02-12
TCK-0000809,5,2024-08-03
TCK-0000812,3,2024-02-13
TCK-0000817,3,2024-08-29
TCK-0000820,5,2024-11-21
TCK-0000822,4,2024-10-08
TCK-0000823,3,2024-03-16
TCK-0000825,3,2024-01-10
TCK-0000826,4,2024-01-26
TCK-0000827,3,2024-10-09
TCK-0000828,4,2024-10-26
TCK-0000829,4,2024-10-28
TCK-0000830,5,2024-04-26
TCK-0000832,4,2024-08-10
TCK-0000833,4,2024-07-19
TCK-0000834,3,2024-10-28
TCK-0000836,4,2024-03-06
TCK-0000838,3,2024-09-12
TCK-0000839,5,2024-06-22
TCK-0000841,5,2024-06-14
TCK-0000842,5,2024-06-24
TCK-0000843,4,2024-01-21
TCK-0000844,5,2024-10-26
TCK-0000846,5,2024-02-01
TCK-0000848,2,2024-03-29
TCK-0000849,5,2024-09-09
TCK-0000851,3,2024-01-25
TCK-0000853,5,2024-08-27
TCK-0000854,3,2024-11-23
TCK-0000857,5,2024-01-20
TCK-0000860,3,2024-09-14
TCK-0000861,5,2024-11-20
TCK-0000865,5,2024-02-03
TCK-0000869,5,2024-12-02
TCK-0000870,5,2024-09-15
TCK-0000874,4,2024-07-20
TCK-0000875,4,2024-10-26
TCK-0000877,4,2024-12-18
TCK-0000878,2,2024-04-10
TCK-0000879,4,2024-11-25
TCK-0000880,1,2024-11-05
TCK-0000881,4,2024-08-11
TCK-0000882,5,2024-01-07
TCK-0000885,4,2024-11-01
TCK-0000886,4,2024-07-12
TCK-0000890,1,2024-02-05
TCK-0000893,3,2024-06-09
TCK-0000895,2,2024-01-18
TCK-0000896,5,2024-01-03
TCK-0000898,5,2024-02-19
TCK-0000900,4,2024-10-16
TCK-0000901,4,2024-06-07
TCK-0000902,4,2024-11-02
TCK-0000903,3,2024-04-26
TCK-0000904,4,2024-10-10
TCK-0000908,5,2024-03-05
TCK-0000909,4,2024-10-31
TCK-0000910,1,2024-10-23
TCK-0000911,4,2024-10-24
TCK-0000913,1,2024-01-11
TCK-0000914,3,2024-12-07
TCK-0000915,4,2024-12-13
TCK-0000917,5,2024-09-18
TCK-0000920,3,2024-09-22
TCK-0000921,2,2024-05-16
TCK-0000923,4,2024-05-27
TCK-0000924,4,2024-01-27
TCK-0000925,2,2024-08-23
TCK-0000926,2,2024-03-13
TCK-0000928,4,2024-05-03
TCK-0000929,4,2024-01-30
TCK-0000930,2,2024-04-01
TCK-0000931,2,2024-03-01
TCK-0000933,4,2024-02-11
TCK-0000935,5,2024-08-06
TCK-0000936,3,2024-04-08
TCK-0000937,5,2024-07-15
TCK-0000939,4,2024-08-16
TCK-0000940,3,2024-04-29
TCK-0000941,4,2024-12-23
TCK-0000943,3,2024-09-19
TCK-0000945,4,2024-04-26
TCK-0000946,5,2024-11-02
TCK-0000947,5,2024-06-06
TCK-0000948,4,2024-06-23
TCK-0000950,3,2024-03-16
TCK-0000951,3,2024-01-31
TCK-0000952,4,2024-10-08
TCK-0000953,5,2024-04-14
TCK-0000955,5,2024-07-29
TCK-0000958,3,2024-09-13
TCK-0000959,5,2024-11-22
TCK-0000961,2,2024-04-11
TCK-0000963,4,2024-01-05
TCK-0000965,3,2024-06-15
TCK-0000966,4,2024-01-10
TCK-0000970,3,2024-03-14
TCK-0000972,5,2024-01-23
TCK-0000973,5,2024-06-27
TCK-0000977,4,2024-11-11
TCK-0000978,4,2024-09-22
TCK-0000980,2,2024-03-25
TCK-0000981,3,2024-01-22
TCK-0000982,4,2024-03-08
TCK-0000984,4,2024-02-04
TCK-0000985,3,2024-04-08
TCK-0000987,5,2024-06-05
TCK-0000988,4,2024-07-26
TCK-0000990,4,2024-03-30
TCK-0000991,4,2024-10-16
TCK-0000992,3,2024-01-11
TCK-0000995,5,2024-05-24
TCK-0000996,4,2024-07-26
TCK-0000998,5,2024-08-02
TCK-0000999,4,2024-09-22
TCK-0001000,5,2024-10-05
TCK-0001005,4,2024-09-08
TCK-0001007,3,2024-07-02
TCK-0001008,4,2024-11-26
TCK-0001009,4,2024-11-20
TCK-0001013,1,2024-04-15
TCK-0001014,4,2024-11-19
TCK-0001016,3,2024-06-16
TCK-0001017,4,2024-01-06
TCK-0001018,4,2024-11-27
TCK-0001019,4,2024-06-03
TCK-0001020,1,2024-03-09
TCK-0001021,3,2024-07-10
TCK-0001023,4,2024-08-17
TCK-0001025,5,2024-10-16
TCK-0001027,5,2024-05-06
TCK-0001029,5,2024-09-28
TCK-0001031,4,2024-10-29
TCK-0001035,4,2024-01-04
TCK-0001036,2,2024-03-21
TCK-0001037,4,2024-08-30
TCK-0001038,5,2024-09-01
TCK-0001039,5,2024-06-01
TCK-0001040,4,2024-11-03
TCK-0001042,3,2024-07-13
TCK-0001045,3,2024-05-29
TCK-0001046,3,2024-10-09
TCK-0001047,5,2024-05-18
TCK-0001049,3,2024-05-24
TCK-0001050,5,2024-03-29
TCK-0001051,4,2024-08-07
TCK-0001052,2,2024-04-25
TCK-0001053,4,2024-10-18
TCK-0001054,3,2024-08-14
TCK-0001056,3,2024-10-28
TCK-0001058,4,2025-01-02
TCK-0001061,4,2024-05-07
TCK-0001062,4,2024-03-05
TCK-0001063,5,2024-04-25
TCK-0001064,5,2024-09-16
TCK-0001068,4,2024-11-19
TCK-0001070,2,2024-09-19
TCK-0001071,4,2024-01-20
TCK-0001073,2,2024-01-29
TCK-0001074,3,2024-04-17
TCK-0001076,4,2024-02-14
TCK-0001080,5,2024-10-04
TCK-0001083,2,2024-01-18
TCK-0001084,5,2024-03-07
TCK-0001085,5,2024-02-29
TCK-0001086,1,2024-12-18
TCK-0001087,5,2024-07-21
TCK-0001088,2,2024-10-18
TCK-0001090,5,2024-01-10
TCK-0001092,5,2024-08-25
TCK-0001093,3,2024-11-10
TCK-0001095,3,2024-11-23
TCK-0001096,4,2025-01-02
TCK-0001098,5,2024-07-31
TCK-0001100,5,2024-03-28
TCK-0001103,5,2024-08-25
TCK-0001106,2,2024-11-05
TCK-0001110,4,2024-07-07
TCK-0001112,4,2024-07-11
TCK-0001113,3,2024-07-20
TCK-0001115,2,2024-08-30
TCK-0001117,4,2024-11-20
TCK-0001119,5,2024-09-10
TCK-0001120,2,2024-09-24
TCK-0001122,2,2024-08-12
TCK-0001123,2,2024-07-24
TCK-0001124,4,2024-03-02
TCK-0001125,5,2024-12-31
TCK-0001126,4,2024-01-28
TCK-0001127,5,2024-03-08
TCK-0001128,4,2024-04-12
TCK-0001129,4,2024-02-26
TCK-0001133,4,2024-12-24
TCK-0001136,5,2024-09-04
TCK-0001141,4,2024-06-14
TCK-0001142,2,2024-08-17
TCK-0001143,4,2024-12-02
TCK-0001144,5,2024-06-14
TCK-0001146,5,2024-10-28
TCK-0001147,5,2024-06-08
TCK-0001148,5,2024-06-05
TCK-0001149,3,2024-03-18
TCK-0001150,4,2024-01-11
TCK-0001151,4,2024-01-10
TCK-0001154,2,2024-02-21
TCK-0001156,4,2024-03-07
TCK-0001159,4,2024-09-30
TCK-0001161,4,2024-08-03
TCK-0001163,4,2024-05-26
TCK-0001164,4,2024-09-22
TCK-0001165,2,2024-07-07
TCK-0001166,3,2024-09-04
TCK-0001170,3,2024-02-20
TCK-0001172,5,2024-11-15
TCK-0001175,4,2024-07-22
TCK-0001177,4,2024-02-29
TCK-0001179,3,2024-03-13
TCK-0001181,5,2024-10-08
TCK-0001182,3,2024-09-19
TCK-0001183,5,2024-04-26
TCK-0001184,5,2024-05-11
TCK-0001185,4,2024-02-27
TCK-0001186,4,2024-07-03
TCK-0001187,5,2024-05-22
TCK-0001188,3,2024-04-20
TCK-0001189,5,2024-12-11
TCK-0001190,5,2024-07-09
TCK-0001191,1,2024-06-09
TCK-0001193,3,2024-08-21
TCK-0001194,4,2024-07-10
TCK-0001195,3,2024-07-20
TCK-0001196,4,2024-08-18
TCK-0001197,1,2024-03-04
TCK-0001199,3,2024-06-04
TCK-0001200,5,2024-12-24
TCK-0001202,5,2024-02-28
TCK-0001204,5,2024-11-19
TCK-0001206,3,2024-05-30
TCK-0001207,4,2024-10-03
TCK-0001208,3,2024-02-19
TCK-0001210,3,2024-10-17
TCK-0001212,4,2024-12-31
TCK-0001214,4,2024-09-16
TCK-0001215,4,2024-11-02
TCK-0001216,5,2024-05-31
TCK-0001217,4,2024-02-27
TCK-0001221,4,2024-10-21
TCK-0001223,4,2024-09-10
TCK-0001225,5,2024-06-10
TCK-0001226,5,2024-05-02
TCK-0001227,2,2024-01-16
TCK-0001232,3,2024-08-28
TCK-0001235,4,2024-07-09
TCK-0001236,2,2024-12-01
TCK-0001237,3,2024-11-11
TCK-0001238,4,2024-12-10
TCK-0001240,4,2024-08-24
TCK-0001241,4,2024-05-30
TCK-0001243,5,2024-11-11
TCK-0001244,3,2024-03-15
TCK-0001245,4,2024-03-10
TCK-0001246,4,2024-05-20
TCK-0001247,4,2024-11-21
TCK-0001248,2,2024-06-07
TCK-0001249,3,2024-11-28
TCK-0001252,4,2024-10-12
TCK-0001253,3,2024-02-10
TCK-0001254,4,2024-03-11
TCK-0001255,5,2024-09-03
TCK-0001258,5,2024-12-15
TCK-0001261,4,2024-07-01
TCK-0001262,4,2024-05-30
TCK-0001263,4,2024-05-04
TCK-0001264,4,2024-09-20
TCK-0001265,4,2024-08-17
TCK-0001267,5,2024-03-31
TCK-0001269,4,2024-07-17
TCK-0001270,4,2024-07-06
TCK-0001271,3,2024-11-20
TCK-0001272,4,2024-05-10
TCK-0001275,4,2024-11-28
TCK-0001276,5,2024-05-20
TCK-0001277,3,2024-02-17
TCK-0001278,4,2024-01-29
TCK-0001281,3,2024-10-22
TCK-0001282,5,2024-11-30
TCK-0001283,2,2024-06-30
TCK-0001284,1,2024-08-10
TCK-0001285,4,2024-04-02
TCK-0001286,4,2024-09-02
TCK-0001287,3,2024-09-08
TCK-0001288,3,2024-07-07
TCK-0001289,4,2024-02-29
TCK-0001290,3,2024-11-13
TCK-0001292,2,2024-01-21
TCK-0001293,4,2024-08-01
TCK-0001294,5,2024-05-11
TCK-0001295,5,2024-04-25
TCK-0001297,1,2025-01-01
TCK-0001299,4,2024-06-24
TCK-0001300,5,2024-06-16
TCK-0001301,3,2024-02-08
TCK-0001302,5,2024-12-14
TCK-0001303,2,2024-02-25
TCK-0001304,3,2024-05-09
TCK-0001305,5,2024-07-23
TCK-0001306,5,2024-03-08
TCK-0001307,4,2024-03-22
TCK-0001308,5,2024-11-19
TCK-0001309,4,2024-02-06
TCK-0001310,2,2024-09-07
TCK-0001313,1,2024-09-02
TCK-0001315,4,2024-02-15
TCK-0001317,5,2024-11-06
TCK-0001318,3,2024-09-15
TCK-0001319,5,2024-04-20
TCK-0001320,5,2024-03-10
TCK-0001321,4,2024-04-27
TCK-0001322,5,2024-02-14
TCK-0001326,4,2024-12-18
TCK-0001328,4,2024-05-20
TCK-0001329,4,2024-12-05
TCK-0001330,4,2024-09-21
TCK-0001332,4,2024-10-07
